Right Riverbank: 	chickens: 20, 	wolves: 20, 	boat: 0

Left Riverbank: 	chickens: 77, 	wolves: 76, 	boat: 0
Right Riverbank: 	chickens: 22, 	wolves: 20, 	boat: 1

Left Riverbank: 	chickens: 78, 	wolves: 76, 	boat: 1
Right Riverbank: 	chickens: 21, 	wolves: 20, 	boat: 0

Left Riverbank: 	chickens: 77, 	wolves: 75, 	boat: 0
Right Riverbank: 	chickens: 22, 	wolves: 21, 	boat: 1

Left Riverbank: 	chickens: 78, 	wolves: 75, 	boat: 1
Right Riverbank: 	chickens: 21, 	wolves: 21, 	boat: 0

Left Riverbank: 	chickens: 76, 	wolves: 75, 	boat: 0
Right Riverbank: 	chickens: 23, 	wolves: 21, 	boat: 1

Left Riverbank: 	chickens: 77, 	wolves: 75, 	boat: 1
Right Riverbank: 	chickens: 22, 	wolves: 21, 	boat: 0

Left Riverbank: 	chickens: 76, 	wolves: 74, 	boat: 0
Right Riverbank: 	chickens: 23, 	wolves: 22, 	boat: 1

Left Riverbank: 	chickens: 77, 	wolves: 74, 	boat: 1
Right Riverbank: 	chickens: 22, 	wolves: 22, 	boat: 0

Left Riverbank: 	chickens: 75, 	wolves: 74, 	boat: 0
Right Riverbank: 	chickens: 24, 	wolves: 22, 	boat: 1

Left Riverbank: 	chickens: 76, 	wolves: 74, 	boat: 1
Right Riverbank: 	chickens: 23, 	wolves: 22, 	boat: 0

Left Riverbank: 	chickens: 75, 	wolves: 73, 	boat: 0
Right Riverbank: 	chickens: 24, 	wolves: 23, 	boat: 1

Left Riverbank: 	chickens: 76, 	wolves: 73, 	boat: 1
Right Riverbank: 	chickens: 23, 	wolves: 23, 	boat: 0

Left Riverbank: 	chickens: 74, 	wolves: 73, 	boat: 0
Right Riverbank: 	chickens: 25, 	wolves: 23, 	boat: 1

Left Riverbank: 	chickens: 75, 	wolves: 73, 	boat: 1
Right Riverbank: 	chickens: 24, 	wolves: 23, 	boat: 0

Left Riverbank: 	chickens: 74, 	wolves: 72, 	boat: 0
Right Riverbank: 	chickens: 25, 	wolves: 24, 	boat: 1

Left Riverbank: 	chickens: 75, 	wolves: 72, 	boat: 1
Right Riverbank: 	chickens: 24, 	wolves: 24, 	boat: 0

Left Riverbank: 	chickens: 73, 	wolves: 72, 	boat: 0
Right Riverbank: 	chickens: 26, 	wolves: 24, 	boat: 1

Left Riverbank: 	chickens: 74, 	wolves: 72, 	boat: 1
Right Riverbank: 	chickens: 25, 	wolves: 24, 	boat: 0

Left Riverbank: 	chickens: 73, 	wolves: 71, 	boat: 0
Right Riverbank: 	chickens: 26, 	wolves: 25, 	boat: 1

Left Riverbank: 	chickens: 74, 	wolves: 71, 	boat: 1
Right Riverbank: 	chickens: 25, 	wolves: 25, 	boat: 0

Left Riverbank: 	chickens: 72, 	wolves: 71, 	boat: 0
Right Riverbank: 	chickens: 27, 	wolves: 25, 	boat: 1

Left Riverbank: 	chickens: 73, 	wolves: 71, 	boat: 1
Right Riverbank: 	chickens: 26, 	wolves: 25, 	boat: 0

Left Riverbank: 	chickens: 72, 	wolves: 70, 	boat: 0
Right Riverbank: 	chickens: 27, 	wolves: 26, 	boat: 1

Left Riverbank: 	chickens: 73, 	wolves: 70, 	boat: 1
Right Riverbank: 	chickens: 26, 	wolves: 26, 	boat: 0

Left Riverbank: 	chickens: 71, 	wolves: 70, 	boat: 0
Right Riverbank: 	chickens: 28, 	wolves: 26, 	boat: 1

Left Riverbank: 	chickens: 72, 	wolves: 70, 	boat: 1
Right Riverbank: 	chickens: 27, 	wolves: 26, 	boat: 0

Left Riverbank: 	chickens: 71, 	wolves: 69, 	boat: 0
Right Riverbank: 	chickens: 28, 	wolves: 27, 	boat: 1

Left Riverbank: 	chickens: 72, 	wolves: 69, 	boat: 1
Right Riverbank: 	chickens: 27, 	wolves: 27, 	boat: 0

Left Riverbank: 	chickens: 70, 	wolves: 69, 	boat: 0
Right Riverbank: 	chickens: 29, 	wolves: 27, 	boat: 1

Left Riverbank: 	chickens: 71, 	wolves: 69, 	boat: 1
Right Riverbank: 	chickens: 28, 	wolves: 27, 	boat: 0

Left Riverbank: 	chickens: 70, 	wolves: 68, 	boat: 0
